Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
WILLIE,Dachshund,,42.36390,-71.11030,Cambridgeport
Boo,Mixed Breed,,42.38860,-71.11630,Baldwin
Maple,Havanese,,42.38930,-71.13000,North Cambridge
Hazel,Pembroke Welsh Corgi,,42.36500,-71.09940,The Port
Emerald,Pocket Beagle,,42.37930,-71.12210,Neighborhood Nine
WINDSOR,Cocker Spaniel,,42.37160,-71.08350,East Cambridge
Gaia Grace LaRoche,Mixed Breed,,42.38350,-71.13700,Neighborhood Nine
Willow,Mixed Breed,,42.36910,-71.10750,Mid-Cambridge
Zeus,Mixed Breed,,42.40100,-71.15100,North Cambridge
Gracie,Mixed Breed,,42.38240,-71.14080,West Cambridge
Sophie (aka Daisy Mae),Mixed Breed,,42.39450,-71.13180,North Cambridge
Elinor Bruff Clarke-Shady,Mixed Breed,,42.38180,-71.11790,Baldwin
Lady,Mini Bernedoodle,,42.37450,-71.10420,Mid-Cambridge
Buka,Mixed Breed,,42.35710,-71.11350,Cambridgeport
Summit Blue,Mixed Breed,,42.36960,-71.10840,Mid-Cambridge
Pepper,Mixed Breed,,42.37050,-71.08360,East Cambridge
Sunny,Labrador Retriever,,42.39760,-71.13310,North Cambridge
SUNNY,Welsh Terrier,,42.38600,-71.12770,Neighborhood Nine
Chance Peanut Butter,Mixed Breed,,42.37830,-71.14190,West Cambridge
Leo,Cockapoo,,42.37020,-71.13960,West Cambridge
Zia,Goldendoodle,,42.38130,-71.13070,Neighborhood Nine
SMUDGE,HAVANESE,,42.39800,-71.14830,North Cambridge
Arien,Terrier Mix,,42.36860,-71.11090,Riverside
Sugar Pie,Mixed Breed,,42.37610,-71.15040,Strawberry Hill
Cosimo,Weimaraner,,42.36030,-71.10240,Cambridgeport
FERGUS,TERRIER X,,42.37450,-71.08470,East Cambridge
Edie,Polish Lowland Sheepdog,,42.37380,-71.12570,West Cambridge
Callie,Beagle  Mix,,42.36490,-71.11270,Riverside
Coco,LABRADOODLE,,42.36240,-71.10100,Cambridgeport
LuLu,Poodle,,42.39010,-71.12590,North Cambridge
Flanders,Mixed Breed,,42.37340,-71.08540,East Cambridge
Willow,Bernese Mountain Dog,,42.39490,-71.14020,North Cambridge
Bowie,VIZSLA,,42.39750,-71.13140,North Cambridge
Lucy,Poodle,,42.37170,-71.10920,Mid-Cambridge
Butter,Retriever Mix,,42.36960,-71.10510,Mid-Cambridge
Wood-ear,Weimaraner,,42.36420,-71.11320,Cambridgeport
HOMER,Cockerpoo,,42.38120,-71.12680,West Cambridge
Emma,Lakeland Terrier,,42.37470,-71.10660,Mid-Cambridge
Shelby,Polish Lowland Sheepdog,,42.37280,-71.12170,West Cambridge
Milo,Golden Retriever,,42.38380,-71.11950,Neighborhood Nine
Chica Maria,Labrador Retriever,,42.35750,-71.10940,Cambridgeport
Koda,Mixed Breed,,42.36880,-71.08150,East Cambridge
Messi,mixed,,42.37410,-71.10270,Mid-Cambridge
Wee Geordie,Cairn Terr,,42.37460,-71.10800,Mid-Cambridge
JOLENE,Samoyed,,42.38090,-71.14350,West Cambridge
Bob,MINIATURE POODLE,,42.37080,-71.09800,The Port
Roxy,Mixed Breed,,42.37030,-71.10760,Riverside
Puddles,Labrador Retriever  Mix,,42.37050,-71.08970,Wellington-Harrington
Piper,wippet,,42.38230,-71.15100,Strawberry Hill
MAXIMUS,LABRADOR RETREIVER,,42.36550,-71.11020,Riverside
Pickles Rover Wright-Katz,Mixed Breed,,42.36230,-71.10880,Cambridgeport
WINSTON,Mixed Breed,,42.37180,-71.08530,East Cambridge
Ana,Great Pyrenees,,42.37700,-71.13930,West Cambridge
Moz Warring,Mixed Breed,,42.37960,-71.10730,Mid-Cambridge
Trudy,Goldendoodle,,42.36530,-71.10930,Riverside
PIKA,Golden Retriever,,42.37630,-71.11010,Baldwin
