Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Mochi,West Highland White Terrier,,42.38800,-71.13180,Neighborhood Nine
Bowie,LAB   MIX,,42.36410,-71.10170,The Port
PANCHO,Mixed Breed,,42.38410,-71.11130,Baldwin
Bailey,Golden Retriever,,42.38310,-71.12000,Neighborhood Nine
Lucy,Terrier mix,,42.39310,-71.12070,North Cambridge
Millie,Mixed Breed,,42.35960,-71.10930,Cambridgeport
Blaze,Mixed Breed,,42.36150,-71.10880,Cambridgeport
Margo,Terr.,,42.36450,-71.10420,Mid-Cambridge
Prince,King Charles Cav Spaniel,,42.37730,-71.11910,Neighborhood Nine
Walter,Bearded Collie,,42.38420,-71.13160,Neighborhood Nine
Buckle,Portuguese Water Dog,,42.37730,-71.13740,West Cambridge
ROMEO,MINIATURE SCHNAUZER,,42.37350,-71.09160,Wellington-Harrington
Luna,Mixed Breed,,42.36440,-71.10620,Cambridgeport
Benny,Yorkshire Terrier,,42.36220,-71.09470,The Port
loulou,Labrador Retriever,,42.38180,-71.13530,West Cambridge
Mango,Shiba Inu,,42.36570,-71.07500,East Cambridge
Rudy,Mixed Breed,,42.38910,-71.12450,North Cambridge
BELA,VIZSLA,,42.38760,-71.11980,Neighborhood Nine
Ziggy,Golden Retriever,,42.37070,-71.10480,Mid-Cambridge
Potomac,Border Collie mix,,42.37560,-71.12030,Neighborhood Nine
LOLA,English Cocker Spaniel,,42.39400,-71.13130,North Cambridge
RICHARD,Hound Mix,,42.37350,-71.14170,West Cambridge
Sully,Goldendoodle,,42.38340,-71.13200,Neighborhood Nine
Eevee,Pembroke Welsh Corgi,,42.39340,-71.14250,North Cambridge
Hank,Weimaraner  Mix,,42.38010,-71.11600,Baldwin
Juniper,Irish Setter,,42.37810,-71.14310,West Cambridge
Chira,Chihuahua,,42.37990,-71.13690,West Cambridge
Nellie,Pug,,42.39460,-71.13240,North Cambridge
Roxy,Mixed Breed,,42.37580,-71.11430,Baldwin
Roscoe Klein,Terrier Mix,,42.36160,-71.10970,Cambridgeport
Haru,Papillon,,42.39040,-71.14800,Cambridge Highlands
Brutus,Labrador Retriever Mix,,42.35710,-71.10870,Cambridgeport
FINN,Beagle Mix,,42.39590,-71.13590,North Cambridge
Arlo,Goldendoodle,,42.37850,-71.12650,West Cambridge
WANGCHUK / CHUK,Shih Tzu,,42.37790,-71.13820,West Cambridge
Lola,Dashund,,42.39590,-71.15880,Cambridge Highlands
Indigo,Mixed Breed,,42.39680,-71.13720,North Cambridge
Bentley,Silky Terrier,,42.35510,-71.10560,Cambridgeport
Jack,Mixed Breed,,42.37060,-71.09730,The Port
FRIDA,Labrador Retriever Mix,,42.38120,-71.14210,West Cambridge
Olive,Cavalier King Charles Spaniel,,42.35950,-71.10440,Cambridgeport
Sandy,CAIRN TERRIER,,42.37950,-71.12690,West Cambridge
Murphy,Mixed Breed,,42.39040,-71.12220,North Cambridge
MEADOW,AUSTRALIAN SHEPHERD/MINI,,42.37230,-71.15290,Strawberry Hill
Jaden,australian Cattle dog,,42.39100,-71.13200,Neighborhood Nine
Luna Tallon,Labradoodle,,42.39100,-71.11730,North Cambridge
Tucker,Golden Retriever,,42.40180,-71.13390,North Cambridge
MOLLY,German Shepherd,,42.36150,-71.10280,Cambridgeport
Ferb,Mixed Breed,,42.39210,-71.12340,North Cambridge
Bella,dachhund,,42.36650,-71.08360,East Cambridge
Penelope,Goldendoodle,,42.37220,-71.07310,East Cambridge
"Wellfleet ""Welly""",Labrador Retriever,,42.38580,-71.13020,Neighborhood Nine
Joni,Mixed Breed,,42.39720,-71.13100,North Cambridge
Sally Gifford,Labrador Retriever,,42.37540,-71.13680,West Cambridge
Mister,Mixed Breed,,42.39040,-71.11950,North Cambridge
Rufus,Australian Shephard,,42.35910,-71.10470,Cambridgeport
Acadia,Labrador Retriever,,42.38760,-71.13620,West Cambridge
Tandy,Australian Cattle Dog,,42.38750,-71.12760,Neighborhood Nine
Luna,Mixed Breed,,42.39400,-71.13410,North Cambridge
Luna,Australian Shepherd,,42.37170,-71.07560,East Cambridge
Tiger Lily,Dalmatian,,42.38790,-71.11570,Baldwin
Oakie,King Charles  Spaniel,,42.37820,-71.13540,West Cambridge
Skip,Australian Cattle Dog,,42.36160,-71.10950,Riverside
Lulu Haltom,Beagle,,42.37760,-71.13800,West Cambridge
Charley,cockapoo,,42.38970,-71.12890,Neighborhood Nine
Kya Ferber-Veeck,Goldendoodle,,42.36860,-71.10090,Mid-Cambridge
Savannah,Mixed Breed,,42.36160,-71.11410,Cambridgeport
Orla,Mixed Breed,,42.37630,-71.13670,West Cambridge
Scout,German Shepherd Dog,,42.36510,-71.10350,Cambridgeport
Annika,Alaskan Malamute,,42.37080,-71.09590,The Port
Louie,Australian Cattle Dog,,42.36810,-71.10080,Mid-Cambridge
Kima,Labrador Retriever  Mix,,42.37340,-71.10440,Mid-Cambridge
Cedar,Australian shephard,,42.39450,-71.12770,North Cambridge
Oliver,Poodle,,42.38130,-71.15170,Strawberry Hill
Misha,German Shepherd Dog,,42.39020,-71.13180,North Cambridge
Milo,Mixed Breed,,42.38350,-71.12360,Neighborhood Nine
Sandy,Cocker Spaniel,,42.36960,-71.10720,Mid-Cambridge
Tillie,Australian Shepherd,,42.36900,-71.08750,East Cambridge
Paisley,Golden Retriever,,42.38960,-71.12700,Neighborhood Nine
Rigby,Heeler X,,42.38370,-71.16120,Strawberry Hill
Nalah,Cane Corso,,42.39200,-71.12820,North Cambridge
Clem,Cattle Dog Mix,,42.36000,-71.10780,Cambridgeport
Luna,Mixed Breed,,42.35490,-71.10680,Cambridgeport
Luna Wednesday Bancroft,Austrailian Labradoodle,,42.37680,-71.14010,West Cambridge
Lucy,Golden  Retriever,,42.39870,-71.13300,North Cambridge
Cyon,Goldendoodle,,42.39200,-71.13070,North Cambridge
Arlie,Shetland Sheepdog,,42.37710,-71.12640,West Cambridge
Woody,Norfolk Terrier,,42.37270,-71.07240,East Cambridge
Mia,Labrador Retriever,,42.39770,-71.12840,North Cambridge
Buddy,Mixed Breed,,42.39070,-71.12010,North Cambridge
luna,Australian Shepherd,,42.37030,-71.09240,Wellington-Harrington
ADELAIDE,Labradoddle,,42.37720,-71.13130,West Cambridge
HARRY,Yorkie  Poo,,42.36260,-71.09250,The Port
Daphne,MINIATURE SCHNAUZER,,42.36140,-71.10760,Cambridgeport
Cooper,Mixed Breed,,42.36410,-71.11510,Riverside
Jazz,Pomeranian,,42.39450,-71.14710,Cambridge Highlands
Kudu,Basenji,,42.39320,-71.14880,North Cambridge
Walden,Golden Retriever,,42.37970,-71.14030,West Cambridge
Yuki,Mixed breed,,42.39200,-71.12180,North Cambridge
Julius,Doberman,,42.37350,-71.10360,Mid-Cambridge
Albus Dumbledoodle,Goldendoodle,,42.39390,-71.13060,North Cambridge
RICKY,POMERANIAN,,42.36580,-71.09120,The Port
Candy,Beagle,,42.39650,-71.12920,North Cambridge
Bennie,Havanese,,42.37140,-71.09300,Wellington-Harrington
winston,Soft Coated Wheaten Terrier,,42.38060,-71.12320,Neighborhood Nine
Martha,Mixed Breed,,42.37790,-71.12580,West Cambridge
PEPE,Maltipoo,,42.36510,-71.09470,The Port
Cooper,LABRADOR RETREIVER,,42.38300,-71.12990,Neighborhood Nine
Samson,Rat Terrier Mix,,42.37310,-71.15430,Strawberry Hill
Leo,Terrier Mix,,42.37650,-71.12430,West Cambridge
WOOSTER,English Cocker Spaniel,,42.38360,-71.12950,Neighborhood Nine
NINA,Spaniel Mix,,42.36960,-71.09480,The Port
Mia,Yorkie-Poo,,42.38730,-71.12980,Neighborhood Nine
Kingston,Terrier,,42.36020,-71.10300,Cambridgeport
Madra,Mixed Breed,,42.36310,-71.09890,The Port
Otto,Jack Russell Terrier,,42.38110,-71.12970,Neighborhood Nine
Penelope,Labrador Retriever,,42.38020,-71.13140,West Cambridge
LEXI,Maltese,,42.38040,-71.14120,West Cambridge
Monty,Labrador Retriever,,42.36490,-71.11070,Cambridgeport
Willow,Mixed Breed,,42.37750,-71.14160,West Cambridge
Morey,Labrabor Retriever,,42.38550,-71.12000,Neighborhood Nine
Gus,MIXED,,42.38740,-71.12690,Neighborhood Nine
Cookie,Chihuahua,,42.35840,-71.11390,Cambridgeport
Nova Sagan,Mixed Breed,,42.39540,-71.12940,North Cambridge
Kaya,Tibetan Terrier,,42.36960,-71.10870,Mid-Cambridge
Athena,Mixed Breed,,42.36410,-71.09140,The Port
Marty McFly,Golden Retriever,,42.38110,-71.15160,Strawberry Hill
Jackson,Mixed Breed,,42.37440,-71.08350,East Cambridge
Marcus,Welsh Springer Spaniel,,42.37540,-71.12970,West Cambridge
Jilly,Retriever (Lab Mix),,42.39800,-71.12870,North Cambridge
Benno,Shepherd mix,,42.36880,-71.08220,East Cambridge
Otto,Labradoodle,,42.38770,-71.11880,Neighborhood Nine
Messi,mixed,,42.36840,-71.10190,Mid-Cambridge
Kiwi,Mixed Breed,,42.39650,-71.12780,North Cambridge
Niko,Mixed Breed,,42.37090,-71.08530,East Cambridge
Kevin,Border Collie,,42.39440,-71.12140,North Cambridge
Russet,Mixed Breed,,42.38990,-71.14400,Cambridge Highlands
RUDI 3,Shih Tzu,,42.36640,-71.10810,Riverside
Pepper,Mixed Breed,,42.38620,-71.13090,Neighborhood Nine
Magnolia,cockapoo,,42.37240,-71.10170,Mid-Cambridge
Ziggy,Labradoodle,,42.38340,-71.13310,West Cambridge
Onyx,Labrador Retriever,,42.38990,-71.13020,North Cambridge
Tula Lou,Mixed Breed,,42.36000,-71.10270,Cambridgeport
Atkin,golden retriever,,42.37920,-71.13390,West Cambridge
Hillary,Mixed Breed,,42.35500,-71.10760,Cambridgeport
Coco,POODLE,,42.37320,-71.14300,West Cambridge
Lexington,Cavalier King Charles Spaniel,,42.37840,-71.14550,West Cambridge
Ladybird Underfoot,English Cocker Spaniel,,42.38980,-71.12610,North Cambridge
Valentino,Mixed Breed,,42.39790,-71.12630,North Cambridge
Jai,"Australian Shepherd, Miniature",,42.38880,-71.13270,North Cambridge
Sophie,Pomsky,,42.39220,-71.12030,North Cambridge
Sugar,Nova Scotia Duck Tolling Retriever,,42.37830,-71.14320,West Cambridge
GEORGETTE,Belgian Malinois X,,42.38660,-71.13020,Neighborhood Nine
Hamish,Cavapoo,,42.38860,-71.12690,Neighborhood Nine
Susie,Dachshund,,42.39000,-71.15760,Cambridge Highlands
Mikasa,Poodle,,42.36680,-71.07740,East Cambridge
Sherlock,Mixed Breed,,42.37970,-71.12380,Neighborhood Nine
Sadie,Cavachon,,42.37390,-71.14470,West Cambridge
Sasha,Australian Shepherd,,42.37850,-71.10560,Mid-Cambridge
Fern,Mutt,,42.36740,-71.08470,East Cambridge
Luca,Mixed Breed,,42.38210,-71.12240,Neighborhood Nine
ZOE,Whippet,,42.35910,-71.11050,Cambridgeport
TIKAANI,Alaskan Malamute,,42.38010,-71.10730,Baldwin
Sally,LABRADOR RETRIEVER,,42.37760,-71.15440,Strawberry Hill
Riley,Golden Retriever,,42.38740,-71.12780,Neighborhood Nine
Maya,Golden Retriever,,42.38930,-71.12430,North Cambridge
Nico,Siberian Husky,,42.35720,-71.10400,Cambridgeport
Tiger,Chihuahua,,42.36520,-71.08940,Area 2/MIT
CHLOE,Polish Lowland Sheepdog,,42.37520,-71.09630,Wellington-Harrington
Rufus,Mixed Breed,,42.37940,-71.10590,Mid-Cambridge
Rufus,Labradoodle,,42.36230,-71.10940,Cambridgeport
Django,Australian Cattle Dog,,42.38520,-71.13930,West Cambridge
Deku,Mixed Breed,,42.39100,-71.14800,Cambridge Highlands
Blue,Border Terrier,,42.38670,-71.13060,Neighborhood Nine
Rosie,Cockapoo,,42.37220,-71.07990,East Cambridge
Ollie,Golden Retriever,,42.38520,-71.13400,West Cambridge
Portia,Havanese,,42.40170,-71.12980,North Cambridge
LILY,LABRADOR RETREIVER,,42.38250,-71.13980,West Cambridge
Nigel (previously Zaxby),Mixed Breed,,42.38750,-71.13630,West Cambridge
Cora,Mixed Breed,,42.35340,-71.10550,Cambridgeport
Luna,Mixed Breed,,42.35370,-71.10690,Cambridgeport
Panda,Poodle,,42.39380,-71.13450,North Cambridge
Oreo Cookie,Poodle,,42.36810,-71.10940,Mid-Cambridge
Rosie,DACHSHUND MIX,,42.36690,-71.11430,Riverside
Theo,Mixed Breed,,42.37440,-71.14990,Strawberry Hill
Lorelei,Golden Retriever,,42.37780,-71.13020,West Cambridge
Milo,Yorkshire Terrier,,42.36570,-71.10650,Mid-Cambridge
Pippi Longpuppy,Mixed Breed,,42.38300,-71.14550,West Cambridge
REMY,Golden Doodle,,42.37550,-71.13930,West Cambridge
Yogi,Mixed Breed,,42.36510,-71.11460,Riverside
Koda,Mixed Breed,,42.38030,-71.14060,West Cambridge
Freya,Labrador Retriever / Shepherd,,42.37940,-71.12190,Neighborhood Nine
Cupid,Lahsa Apso,,42.37550,-71.08640,East Cambridge
Fitz,Pomsky,,42.38430,-71.11880,Neighborhood Nine
Presley,Mixed Breed,,42.36180,-71.11210,Riverside
Maddie Berseth,Mutt,,42.38330,-71.12020,Neighborhood Nine
Bijou,Border Terrier,,42.38820,-71.12930,North Cambridge
Ruby,GREYHOUND,,42.40200,-71.13410,North Cambridge
Django,Mixed Breed,,42.37670,-71.15200,Strawberry Hill
Scout,Lagotto Romagnolo,,42.37720,-71.14090,West Cambridge
Minnie,Glen of Imaal Terrier,,42.38680,-71.12740,Neighborhood Nine
Pasco,Mixed Breed,,42.39910,-71.13260,North Cambridge
Maya,Australian Shepherd,,42.39560,-71.13220,North Cambridge
Millie,English Springer Spaniel,,42.38210,-71.14460,West Cambridge
Sonny,Jack Russell Terrier,,42.36050,-71.11280,Cambridgeport
Keyani,mix,,42.37210,-71.09110,Wellington-Harrington
Anzu,Mixed Breed,,42.37860,-71.15330,Strawberry Hill
Sadie,Samoyed,,42.38190,-71.13330,West Cambridge
Vince,Mixed Breed,,42.35990,-71.08410,Area 2/MIT
Ryley,Miniature Schnauzer,,42.39060,-71.12690,North Cambridge
Ralph,Bichon Frise,,42.37530,-71.13280,West Cambridge
Ollie Barrett,Goldendoodle,,42.36930,-71.11050,Riverside
DAKOTA,Portuguese  Water  Dog,,42.36490,-71.11230,Riverside
Maisie,American Eskimo Dog,,42.39720,-71.13690,North Cambridge
Toby,Mixed Breed,,42.38650,-71.12550,Neighborhood Nine
Phoebe,Labradoodle,,42.37570,-71.13600,West Cambridge
Buffy ,Tibetan Terrier,,42.39060,-71.12030,North Cambridge
Maple Weiss,Mixed Breed,,42.37710,-71.12580,West Cambridge
Corey,English Cocker Spaniel,,42.38360,-71.13810,West Cambridge
TUCKY SUE,Golden Doodle,,42.37550,-71.14710,West Cambridge
Frankie,shitzu,,42.38430,-71.11660,Baldwin
CHARLIE BLONDE,LABRADOR RETREIVER,,42.37570,-71.10810,Baldwin
Scout,Labradoddle,,42.36440,-71.11200,Cambridgeport
Rose,Mixed Breed,,42.37350,-71.14900,Strawberry Hill
LULU,Sato,,42.36380,-71.10090,Cambridgeport
Otis,Mixed Breed,,42.37040,-71.09330,The Port
Maisie,Australian Cattle Dog,,42.37720,-71.14480,West Cambridge
Bagel,Labradoodle,,42.35750,-71.10210,Cambridgeport
Ollie,Bernedoodle,,42.35890,-71.10540,Cambridgeport
Tala,Goldendoodle,,42.37030,-71.10630,Mid-Cambridge
Nala,Mixed Breed,,42.39470,-71.12500,North Cambridge
Albie,LABRADOODLE,,42.37810,-71.14340,West Cambridge
Bourbon,Miniature Pinscher,,42.36580,-71.08680,Area 2/MIT
Georgie,Lhasa Apso,,42.37660,-71.13980,West Cambridge
Lulu,Nova Scotia Duck Tolling Retriever,,42.38510,-71.13720,Neighborhood Nine
Murphy,Border Collie,,42.38360,-71.13390,Neighborhood Nine
Lucy,Goldendoodle,,42.38950,-71.12400,North Cambridge
Ranger,Aust Shep Mix,,42.38140,-71.11370,Baldwin
King Shaka Zulu,Poodle,,42.39960,-71.13400,North Cambridge
DAISY,Terrier Mix,,42.38200,-71.12080,Neighborhood Nine
Teddy,Mixed Breed,,42.38750,-71.12450,Neighborhood Nine
Alice,POINTER MIX,,42.36680,-71.10640,Mid-Cambridge
Piper,Australian Cattle Dog,,42.38100,-71.14230,West Cambridge
Archie,Mixed Breed,,42.38170,-71.13900,West Cambridge
Scout,Labrador Retriever,,42.37520,-71.13710,West Cambridge
Sasha,Bichon Frise,,42.38250,-71.14060,West Cambridge
Nigel,Goldendoodle,,42.36630,-71.10940,Riverside
TWIG,Sato,,42.38070,-71.14170,West Cambridge
Smoky Joe,Poodle,,42.37290,-71.12330,West Cambridge
Julie,Labrador Retriever,,42.36770,-71.11550,Riverside
Sweetea,Mixed Breed,,42.38690,-71.13180,Neighborhood Nine
Pippi,Golden Doodle,,42.38540,-71.12950,Neighborhood Nine
Artemis,Mixed Breed,,42.36580,-71.11560,Riverside
Millie,mixed,,42.38540,-71.12580,Neighborhood Nine
Cooper,German Shorthaired Pointer,,42.35810,-71.09820,Cambridgeport
Marty Segel,Labradoodle,,42.37720,-71.13780,West Cambridge
Talia,Labradoodle,,42.37430,-71.13000,West Cambridge
Bailey,Labrador Retriever,,42.36320,-71.10170,Cambridgeport
Bootsy,Border collie,,42.38620,-71.13560,Neighborhood Nine
Nala,Mixed Breed,,42.37920,-71.11020,Mid-Cambridge
Levi,Golden Retriever,,42.37260,-71.09630,Wellington-Harrington
Bee Gee,Mixed Breed,,42.38180,-71.14390,West Cambridge
Scooby,Labrador Retriever,,42.36500,-71.10560,Mid-Cambridge
Bisuit Carey,cockapoo,,42.37300,-71.11120,Mid-Cambridge
Winston,Mixed Breed,,42.40150,-71.13280,North Cambridge
OBIE,Labrador Retriever,,42.37200,-71.12440,West Cambridge
Indigo (Indi),Australian Shepherd,,42.38270,-71.12360,Neighborhood Nine
Candi,Greyhound,,42.39470,-71.13180,North Cambridge
Maggie,Mixed Breed,,42.40270,-71.14980,North Cambridge
Tasha,Chihuahua,,42.37210,-71.07390,East Cambridge
Kamani,Border Collie,,42.39100,-71.12430,Neighborhood Nine
stuart little,Dachshund,,42.38150,-71.13530,West Cambridge
Ruby,Duck Tolling Retriever,,42.39440,-71.15820,Cambridge Highlands
Ajax,Labrador Retriever Mix,,42.38960,-71.12460,North Cambridge
Mookie,Mixed Breed,,42.36180,-71.11210,Cambridgeport
Olive,Golden Retriever,,42.36350,-71.08990,Area 2/MIT
Izzy,Shih Tzu,,42.38650,-71.13980,West Cambridge
Luna ,Shih Tzu,,42.36590,-71.08120,East Cambridge
Wesley,Yellow Lab mix,,42.37200,-71.10360,Mid-Cambridge
DAISY,Golden  Retriever,,42.36210,-71.10750,Cambridgeport
AINSLEY,Labrador Retriever X,,42.36850,-71.11220,Riverside
Fiona,Labradoodle,,42.37600,-71.12690,West Cambridge
Mari,Border Collie,,42.37000,-71.10660,Mid-Cambridge
Maggie,Mixed Breed,,42.37650,-71.12670,West Cambridge
Ziba,Labrador,,42.36850,-71.11490,Mid-Cambridge
RICKY,Australian  Shepherd,,42.38300,-71.13240,Neighborhood Nine
FINN ,French Bulldog,,42.37130,-71.08820,East Cambridge
Atlas LeSoltis,Goldendoodle,,42.39510,-71.13320,North Cambridge
Otis,American Pit Bull Terrier,,42.36560,-71.10210,The Port
Coco,Vizsla,,42.37200,-71.12330,West Cambridge
Niko,Mixed Breed,,42.37770,-71.12650,West Cambridge
Copper,Mixed Breed,,42.37690,-71.14280,West Cambridge
LUCY,LABRADOR RETREIVER,,42.38630,-71.12160,North Cambridge
Haku (Kohaku),Mixed Breed,,42.38330,-71.11420,Baldwin
Luka,Portuguese Water Dog,,42.38620,-71.13250,Neighborhood Nine
Bo,Cairn Terrier,,42.37330,-71.10840,Mid-Cambridge
Simba,Malamute,,42.38640,-71.12410,Neighborhood Nine
Rex,Maltese,,42.38180,-71.13220,West Cambridge
REMO,Mixed Breed,,42.36830,-71.10290,Mid-Cambridge
Macchiato,Labradoodle,,42.37700,-71.12480,West Cambridge
Bison,Cavalier King Charles Spaniel,,42.35670,-71.10380,Cambridgeport
Ditto,Tibetan Terrier,,42.38440,-71.13190,West Cambridge
Benoit Tutokanula Bus,French Bulldog,,42.36400,-71.08150,East Cambridge
Terry,Terrier,,42.37300,-71.10660,Mid-Cambridge
Jake,Australian Labradoodle,,42.38150,-71.11590,Baldwin
Winston Sullivan ,Labrador Retriever,,42.38380,-71.12570,Neighborhood Nine
MELLON,LABRADOR RETREIVER,,42.36830,-71.08090,East Cambridge
Luna,Mixed Breed,,42.37930,-71.10560,Mid-Cambridge
Peaches,LABRADOR RETRIEVER,,42.37900,-71.13230,West Cambridge
Sebastian,MINIATURE POODLE,,42.37160,-71.08250,East Cambridge
Zoey,Golden Retriever,,42.38020,-71.14000,West Cambridge
Manet,Poodle,,42.37940,-71.12040,Neighborhood Nine
Toni,Australian Shepherd,,42.38870,-71.12710,North Cambridge
Charlie,Border Terrier Mix,,42.36210,-71.11180,Cambridgeport
Penny,Mixed Breed,,42.36660,-71.10530,Mid-Cambridge
Bailey,Labrador Retriever,,42.38130,-71.14110,West Cambridge
NELLIE,Whoodle,,42.38230,-71.13320,Neighborhood Nine
Boris,pug,,42.38300,-71.13780,Neighborhood Nine
Orly Sommer,Siberian Husky,,42.36800,-71.09450,The Port
LUCY,Golden  Retriever,,42.38820,-71.13150,Neighborhood Nine
Waffles,Golden Retriever,,42.37020,-71.10360,Mid-Cambridge
Frank,Plott,,42.39250,-71.12070,North Cambridge
Mochi,Labrador Retriever,,42.36250,-71.11070,Cambridgeport
Franklin,POODLE,,42.39360,-71.12360,North Cambridge
Frankie,Mixed Breed,,42.36940,-71.09370,Wellington-Harrington
Kate,Mixed Breed,,42.37080,-71.12440,West Cambridge
Bell,LAB DOODLE,,42.38030,-71.13310,West Cambridge
Mica,Sato,,42.37680,-71.15160,Strawberry Hill
CLOVER,Border Collie Mix,,42.35990,-71.10830,Cambridgeport
Milo,Mixed Breed,,42.36480,-71.10780,Riverside
Honey,Mixed Breed,,42.39090,-71.13350,Neighborhood Nine
Mando,Australian Kelpie,,42.37950,-71.12300,Neighborhood Nine
Pele,Boston Terr.,,42.39080,-71.12800,North Cambridge
Snickers,Cockapoo,,42.39340,-71.13290,North Cambridge
GRACIE,Sheltie X,,42.38640,-71.13160,Neighborhood Nine
Mylo,Cockapoo,,42.39890,-71.12880,North Cambridge
Charlie,Mixed Breed,,42.37180,-71.10520,Mid-Cambridge
Echo,labrador retriever,,42.37560,-71.14180,West Cambridge
Maddie,West Highland White Terrier,,42.38460,-71.12360,Neighborhood Nine
Madison,Golden Retriever,,42.37000,-71.11210,Mid-Cambridge
Jessie,Labradoodle,,42.37540,-71.14130,West Cambridge
Winslow,Mixed Breed,,42.37140,-71.10740,Mid-Cambridge
Ella,Newfoundland,,42.38890,-71.12840,Neighborhood Nine
FLASH,Border Collie,,42.39690,-71.13070,North Cambridge
Kaya,Labrador Retriever Mix,,42.36270,-71.11420,Cambridgeport
Shadow,Mixed Breed,,42.37190,-71.10260,Mid-Cambridge
Reese,Chihuahua  Mix,,42.38430,-71.11580,Baldwin
Dotty,Australian Shepherd,,42.38610,-71.13440,Neighborhood Nine
Blue,Catahola Mix,,42.37560,-71.13200,West Cambridge
Kkaebi,Korean Jindo Dog,,42.36790,-71.08840,East Cambridge
Barkley,Goldendoodle,,42.38920,-71.12240,North Cambridge
Rider,Labrador Retriever,,42.37010,-71.10270,Mid-Cambridge
Watson,Labradoodle,,42.37190,-71.11380,Mid-Cambridge
Penny,Golden Retriever,,42.37490,-71.14050,West Cambridge
Ava,German Shepherd Dog,,42.38370,-71.13820,Neighborhood Nine
Jep,Mixed Breed,,42.38440,-71.12160,Neighborhood Nine
Copper,Nova Scotia Duck Tolling Retriever,,42.37560,-71.14860,West Cambridge
Zoe,German Shepherd-Lab,,42.39240,-71.13150,North Cambridge
BOOTS,Labrador Retriever X,,42.37800,-71.11510,Baldwin
Otto,Mixed Breed,,42.38610,-71.12570,Neighborhood Nine
Simon,Mixed Breed,,42.40170,-71.12970,North Cambridge
Harry,Miniature Schnauzer,,42.38970,-71.12550,North Cambridge
Winnie,Mixed Breed,,42.36950,-71.11260,Riverside
Zoe,Mixed Breed,,42.36470,-71.10380,Mid-Cambridge
Archie Tyrone,Coton De  Tulear,,42.39770,-71.13130,North Cambridge
Cooper,Golden Retriever,,42.36960,-71.11120,Mid-Cambridge
Duncan,Mixed Breed,,42.35700,-71.11050,Cambridgeport
Sadie,Siberian Husky,,42.38180,-71.14200,West Cambridge
chance,Goldendoodle,,42.39110,-71.15430,Cambridge Highlands
Rowley,Golden Retriever,,42.37690,-71.13320,West Cambridge
Kielo,Belgian Malinois,,42.37610,-71.13350,West Cambridge
BRUTUS,Mixed Breed,,42.36300,-71.07870,East Cambridge
Rudy,Miniature Schnauzer,,42.36980,-71.08140,East Cambridge
BANNI,Terrier Mix,,42.37280,-71.15210,Strawberry Hill
COCO,Springer Spaniel,,42.38630,-71.12330,Neighborhood Nine
Theodore ,Beagle,,42.37780,-71.11460,Baldwin
Jack,Poodle,,42.36660,-71.10970,Riverside
Twyla,Poddle Mix,,42.36740,-71.08300,East Cambridge
Maggie,Mixed Breed,,42.36110,-71.11020,Cambridgeport
Charlie,Mixed Breed,,42.37670,-71.15020,Strawberry Hill
Odin,Airedale Terrier,,42.39050,-71.12580,Neighborhood Nine
Taffy,Chihuahua,,42.36700,-71.07610,East Cambridge
Theo,English Cocker Spaniel,,42.39300,-71.11940,North Cambridge
Kidja,Mixed Breed,,42.37290,-71.07740,East Cambridge
Angel,Mixed Breed,,42.39070,-71.13060,North Cambridge
Doolin,Golden Doodle,,42.37830,-71.15290,Strawberry Hill
Laddie Boy,West Highland White Terrier,,42.38450,-71.13970,West Cambridge
Poppy,Mixed Breed,,42.38890,-71.12150,North Cambridge
Astrid,Mixed Breed,,42.36810,-71.10520,Mid-Cambridge
Nora,Mixed Breed,,42.37160,-71.08770,Wellington-Harrington
JUNE BUG,Schnauzer Mix,,42.36520,-71.10890,Riverside
Kolsch,Miniature Schnauzer,,42.36690,-71.10660,Riverside
ELSA,Yorksire Terrier,,42.39090,-71.12210,North Cambridge
Moses,Australian Shepherd,,42.36760,-71.09660,Wellington-Harrington
Murphy,Mixed Breed,,42.38130,-71.12490,Neighborhood Nine
ANNIE,Pit Bull,,42.39710,-71.13790,North Cambridge
Ogden,Golden Retriever,,42.39380,-71.13310,North Cambridge
Walter,Norwich Terrier,,42.37550,-71.10280,Mid-Cambridge
SHEENA,English Bulldog,,42.38670,-71.13810,West Cambridge
Bear,Mixed Breed,,42.35400,-71.10940,Cambridgeport
Emma ,Golden Retriever,,42.38490,-71.12210,Neighborhood Nine
Blue,Treeing Walker Coonhound,,42.36290,-71.10750,Cambridgeport
Colby,Cocker Spaniel,,42.36620,-71.10380,Mid-Cambridge
Nina,Mixed Breed,,42.38460,-71.12220,Neighborhood Nine
FINNEGAN,Golden Retriever,,42.36930,-71.10670,Mid-Cambridge
Sawyer,Mixed Breed,,42.37800,-71.11050,Mid-Cambridge
Bella (formerly known as Haute),Mixed Breed,,42.39470,-71.13260,North Cambridge
Bo,Cocker Spaniel,,42.37590,-71.10450,Mid-Cambridge
Ginger,Mini Golden Doodle,,42.39040,-71.12280,North Cambridge
Pemi,Bernedoodle,,42.37210,-71.09750,Wellington-Harrington
Mars ,Pug,,42.36610,-71.09350,Wellington-Harrington
Ivy,Lakeland Terrier,,42.37550,-71.10690,Mid-Cambridge
Gus Domanico,Mixed Breed,,42.35620,-71.11010,Cambridgeport
Sparrow,Shih Tsu,,42.38320,-71.14270,West Cambridge
CAZ,Golden Doodle,,42.37930,-71.13930,West Cambridge
