Dog_Name,Dog_Breed
Ronja,HAVAPOO
Rosie,West Highland White Terrier
Rosie Bordone,Golden Ret
Casca,Beagle
cooper,Coton de Tulear
Brodie,Mixed Breed
Roscoe,Boston Terrier Mix
Nova,French Bulldog
CLEA,Jack Russel Terrier
Boone,Goldendoodle
RONNIE,Portuguese Water Dog
FRANKIE,Mix
SOFI,Shih Tzu
Preston,Poodle
Luna,Labrador Retriever
ISIS,Siberian Husky
Ruby,Collie
BENJI,Schnauzer Mix
Sophie,Bernedoodle
Flash,Labrador Retriever
Figgy,Mixed Breed
Ollie,Mixed Breed
Delphine,Chihuahua
Daisy,golden retriever
Gus,Shepherd Mix
Rigsby,Mutt
COOKIE,Yorksire Terrier
Lydia,Bernedoodle
Shadow,Labrador Retriever
Che,LABRADOODLE
Mika,Border Terrier
Navi,Mixed Breed
Sookie,Mixed Breed
Cosmo,Cavalier King Charles Spaniel
Sonny,Mixed Breed
Benny Levine,Mixed Breed
Olive Gardner,Mixed Breed
Sir Lancelot,French Bulldog
Skye,Golden Retriever
Louie ,Goldendoodle
Sunflower Sunshine (Sunny),Golden Retriever
Magnolia,Mixed Breed
Seva,Vizla Mix
Tootsie,Labrador Retreiver 
REX,Yorkshire  Terrier
Henry,Poodle
Dali Cicero,Poodle
Maisy,Cotton De Toulear
Penelope,Mixed Breed
Red,Beagle 
Bailey,Australian Kelpie Mix
Mr. Eliot,Mixed Breed
Oscar Wilde,Goldendoodle
Bono,Cockapoo
Buda,VIZSLA
Jamie,Labrador Retriever
Charlie,Mixed Breed
Olive,TERRIER X
Tagalong,LAB   MIX
LUCY,Cockapoo
Rumi,Samoyed
Oscar,LEONBERGER
DELILAH,LABRADOR RETREIVER
Kristoff,POMERANIAN   X
Emma,Labrador Retriever
Millie,Beagle
Edgar,Nova Scotia Duck Tolling Retriever
ZURI,Labrador Retriever X
Rocky,Mixed Breed
Bowie,Bernedoodle
Izzy,Goldendoodle
Oscar Madison,Golden Doodle
Izzy (Isabella),Yorkie
TUXEDO,Labrador Retriever X
LOUISA,Collie X
Gemma,Mixed Breed
Cadbury,Cockapoo
Willow,shih Tzu
Puck,Siberian Husky
Pellet,mixed breed
Ginger,Mixed Breed
DOOGIE,Labradoodle Mix
Doki,Shi Tzu
LULU,WHEATEN TERRIER
Ben Alan Donatello,Poodle
Nola,POODLE MIX
Oona,Mixed Breed
Comet,Mixed Breed
Lusa,Cockapoo
Rylie,Cairn Terrier Mix
Data,Mixed Breed
Chico,Mixed Breed
Yogi,HAVANESE
Breagha,Labrador Retriever
Stella,Goldendoodle
SPARKY,Labradoodle
Callie,Lab  Mix
Wilson,Corgi
Rescue,Labrador Retriever
Bella,Chihuahua
Madison,Mixed Breed
Lewis,Poodle
Beemo,Dachshund
Penny,Mixed Breed
Sonora,Great Pyrenees 
Princess Dolores,American Eskimo Dog
Captain,Maltese Shih Tzu
Luna,Goldendoodle
Valkyrie,Nova Scotia Duck Tolling Retriever
Tito,Norwich Terrier
Annie,Dachshund
Nomsi,Pug
Max,Golden Retriever
Badger,cockapoo
Zelda,Australian  Shepherd
Everly,Beagle
SCARLETT,Treeing Coonhound
Peaches,Mixed Breed
Otto,German Shorthaired Pointer
Rusty,Mixed Breed
Covie Adeff,Australian Cattle Dog
Marlowe,Mixed Breed
Milo,Boston Terrier
Grady,Mixed Breed
Pepper,Cockapoo
Zelda,Mixed Breed
Mikey,Poodle/Shitzu
Tupper,Treeing Walker Coonhound
Coconut,Bernedoodle
Puffin,Pug
Theo,Mixed Breed
PESO,Australian  Shepherd
Pepper,West Highland terrior
ABBY,Australian  Shepherd X
Russell,Mixed Breed
Russell,Golden Retriever
Tobie,West Highland White Terrier
Nila,Mixed Breed
Miller,Mixed Breed
Rudy,Mixed Breed
SACHI,German Shepherd
Celeste,Havanese
Toby,Soft Coated Wheaten Terrier
Brooklyn,Cavalier King Charles Spaniel
Parsley,Mixed Breed
Sammie,French Bulldog
Zelda,Mixed Breed
Julius,Golden Retriever
MAYA,SHELTIE
Bao Bao,Labrador Retriever
Teddy,multi poo
Jules,Labrador Retriever
ECCO,Labradoddle
Sofi,shilo shephard
SANDY,Shih Tzu
Toph,Mixed Breed
LUCY,Cockapoo
MARS,Pug X
Tucker,Siberian  Husky
Maple,Mixed Breed
Figgs,Mixed Breed
Cheo,Cocker
Yeti,Goldendoodle
WILLOW,LABRADOR RETRIEVER
Tessi,Bernedoodle
Georgia O'Keefe (Geo),English Setter
Caesar,Labradoodle
Misty,Mixed Breed
RAY RAY,Mix
Biscuit Grape-Juice,Treeing Walker Coonhound
BOLT,Basenji
Lucy ,Great Pyrenees
Walter,Mixed Breed
Jack,Poodle
Penny,Mixed Breed
Cassius,Mixed Breed
Tank,American Bully
Colby,Golden  Retriever
Cora,Mixed Breed
Pearl,labradoodle
Beau Kirpalani,GOLDEN DOODLE MINI
Harck,Great Pyrenees Mix
Lychee,Mixed Breed
BOOMER,Labradoddle
Keena,golden mix
Enzo,Labradoodle
Elise,English Cocker Spaniel
Alfie,Brittany
ARCHIE,Newfoundland
Cheese,Labrador Retriever
Ada,Mixed Breed
Sebastian,Pitbull
Ellie,Mixed Breed
IZZY,Spaniel Mix
Kobe,Sheltie X
Freddy,Shep Mix
CATO,Golden Doodle
Clyde,Mixed Breed
Maisie,Norwich Terrier
Josie,yorkie/poodle
Greta,German Shepherd Dog
MAVERICK,LABRADOODLE
PANDA,Portuguese  Water  Dog
Maggie Mae,Dachshund
Brady,pug
Butchie,Yorkshire
Chloe,Mixed Breed
Phoebe,Labradoodle
Charlie,Mixed Breed
Seymour,Mixed Breed
Basil,Border Collie
Luna,Labrador Retriever
Ellie,Beagle  Mix
Lucy,Mixed Breed
Chip,Miniature Pinscher
ALLIE,Cockerpoo
Jesse,Poodle
BACI,LABRADOR RETREIVER
Stevie,Mixed Breed
Olive,Mixed Breed
Daisy (shelter name: Delilah) ,Jack Russell Terrier
Sugar,Mixed Breed
Emma,Mixed Breed
Abel,Mixed Breed
Otis,Mixed Breed
Bella,Mixed Breed
MAYBEL,Chihuahua X
Daisy,Poodle
Millie,Boxer mix
TIGER,Cockerpoo
Macaron,Shiba Inu
Emmit,POODLE
Maisie,Terrier
Noodle,Mixed Breed
Wolfie,Australian Shepherd
Masie Pearl,Mixed Breed
Auggie,Mixed Breed
Fenway,Golden Retriever
Peadar ,Jack Russell Terrier
Archie,Mixed Breed
Maggie,Golden Retriever
Henny,Boxer
WINNIE,POODLE
Taro,Jack Russell Terrier
Hal,Havanese
Belinda,LABRADOODLE
Luna,Standard Poodle
Bodacious Pritchard,Mixed Breed
Belle,Mixed Breed
Lulu,Australian Labadoodle
Susy,Mixed Breed
